id,x_centroid,y_centroid,sharpness,roundness1,roundness2,n_pixels,peak,flux,mag,daofind_mag
2889,81.17194782151903,630.782797750236,0.5772804672379954,-0.65478534,-0.034426388273430385,25,50.233215,622.6399,-6.9855924,-0.9885431540546358
2890,93.6559571695912,630.996788625703,0.4645208673173905,-0.04146914,-0.07536867650323127,25,210.48608,2407.1907,-8.453776,-2.756211674371719
2891,309.58426911992717,630.7218214948841,0.45869437973217664,-0.26784477,-0.029815776851684773,25,141.01083,1664.8289,-8.053424,-2.3010181124769913
2892,425.6744219377626,630.6501329389455,0.43769479105944925,-0.0057298616,-0.0024485909402695584,25,259.68277,3065.7036,-8.716325,-3.0102933783732615
2893,1090.4177985386125,631.8168078550408,0.4745329432951517,0.03782592,-0.027673373038633597,25,93.51191,1077.514,-7.5810575,-1.862375113234702
2894,200.18430128701112,633.2617673556005,0.4163117667838745,-0.21331078,-0.1330681059400924,25,36.269493,461.1974,-6.659717,-0.7724724018911664
2895,280.38393226361165,633.1998446757758,0.5016901734601953,-0.35556063,-0.07972643806520816,25,62.858356,761.58734,-7.2042994,-1.3376462913715403
2896,822.4798439295575,632.415654725724,0.5672595725578008,0.16590498,-0.011276716116457326,25,32.94513,368.2135,-6.415249,-0.6444556395047425
2897,242.76643811917387,633.863476644134,0.444016219025581,-0.0046435506,-0.016823090875897766,25,177.40764,2057.6646,-8.283436,-2.583625053191506
2898,1253.7859000338783,634.2412207493442,0.43009706088580807,-0.088479325,0.18751218344147355,25,32.89515,376.57208,-6.43962,-0.7783665570627596
2899,3.990157535263099,634.9284213280013,0.5352454762494844,-0.17241268,-0.030821411835584275,25,40.60527,508.7998,-6.7663674,-0.7678459414960072
2900,481.9690818579956,635.3656546121185,0.3926861150271825,0.050395995,0.14416525187313708,25,54.942535,709.69135,-7.1276736,-1.2864515652293025
2901,610.8283071315836,634.7773739373708,0.48077937600132764,0.15946837,0.08982912858144715,25,112.792816,1290.3699,-7.7767854,-2.046137844203722
2902,764.143597916561,635.1838557397631,0.41985797160277705,0.45004073,-0.21144171804624506,25,93.563835,1302.0278,-7.7865505,-1.6609401346177175
2903,19.534596318297062,635.8470595009015,0.3754916670928903,-0.6555858,-0.19982855961384263,25,39.45506,562.5647,-6.875431,-0.8700715418750218
2904,42.50974615726747,637.0976325032192,0.42377334177580783,-0.17274958,-0.12247766316593792,25,72.33779,925.5005,-7.415942,-1.5251768728794326
2905,376.7608594071289,637.204127582563,0.4243550346277324,-0.07411287,-0.02189451404038355,25,125.41436,1596.6844,-8.008048,-2.1762656028995817
2906,598.8736101099665,637.5695223571629,0.48142156238519607,-0.14015391,0.13517574322497847,25,141.61577,1661.8468,-8.051477,-2.2713935985784715
2907,927.345537265682,637.0037227149808,0.47872468536083657,0.00057758234,0.03261552388609913,25,1269.9043,14196.994,-10.380491,-4.706037532136978
2908,1292.1085711956268,637.4050597412336,0.48999977021970825,0.054737333,0.28012879119496226,25,61.995945,678.99115,-7.0796604,-1.460960321644048
2909,272.21551442871055,638.3492308621278,0.47041512961191895,0.1636278,0.11562784586848722,25,115.722565,1450.7992,-7.9040184,-2.0218999374266042
2910,1098.5953591996042,638.2211995846055,0.47628104561454615,-0.104012966,-0.03350818123859011,25,35.929108,399.49356,-6.5037746,-0.8702179112038066
2911,1928.5647272121535,638.13079824943,0.5652126890838348,-0.24835594,-0.10501121733363473,25,73.33959,749.20325,-7.186499,-1.581510777659345
2912,157.39472360980983,639.1186552402343,0.4121717109280506,0.069308706,-0.15669158449513243,25,18.179844,222.93869,-5.870464,-0.24342007861000492
2913,968.4722289638454,638.7603380724936,0.4297450008956084,-0.08865009,-0.027169434956208296,25,266.84497,3185.5222,-8.757952,-3.0296133194337944
2914,1036.0181048890643,638.7726849995557,0.47869365633926014,0.19086285,0.17909814904444984,25,27.250938,301.43143,-6.1979713,-0.5438547464261506
2915,233.5683299595321,639.5047745658721,0.48842589690018684,0.19272524,-0.02009107984959382,25,61.082676,744.2732,-7.1793313,-1.2993692031073791
2916,320.34233380895137,639.8665439177404,0.414676053401072,-0.37929845,-0.0028900706420265897,25,38.482563,501.46143,-6.7505937,-0.8642862051003847
2917,1337.4586224546174,640.3606649965112,0.4422268801443762,0.4619163,0.03243283761450205,25,20.245808,214.69041,-5.8295317,-0.38492775664978596
2918,29.872015424432394,640.9479479907199,0.47140111407647195,-0.038514707,-0.05157803127313975,25,112.52776,1276.9081,-7.765399,-2.082042990600257
2919,774.4471881392325,641.2810038097508,0.4718988374383794,0.2431784,0.02227292252250933,25,246.56416,2791.7444,-8.614689,-2.9387230889603364
2920,1081.0337332355248,641.1723454990432,0.4793776422073429,-0.04961905,0.10414717982297218,25,90.27732,973.2192,-7.4705267,-1.8902441531953644
2921,1393.2900418053318,641.4780098289156,0.5075586632550354,0.070271134,0.1823505683737348,25,40.603138,440.7547,-6.6104927,-0.9452333287287135
2922,792.5946246282174,642.1681061489264,0.4646286989223218,0.013465693,0.03831021065258425,25,56.62228,667.1315,-7.0605283,-1.304164745593206
2923,813.4369015351399,642.1400145617744,0.47414737787256944,0.5241522,0.40233142206368167,25,120.153694,1570.8729,-7.9903526,-1.9923799425160076
2924,1838.0304703116876,642.6118395751784,0.4199040767752531,0.2523469,0.22811307719915433,25,27.004292,320.62915,-6.265007,-0.5880456815512735
2925,127.89335554328883,643.2741698438887,0.4911933549866957,-0.11719202,0.026907134430619595,25,122.08175,1398.1119,-7.863855,-2.1480606360884584
2926,301.56080387642965,643.3327228454195,0.37977832533191563,-0.34907934,0.04801504639773391,25,16.36895,218.57948,-5.8490233,-0.0724933286264927
2927,354.7620294621235,642.5828375875476,0.4242775759029033,0.13055672,0.058415670414647874,25,117.939644,1427.235,-7.8862386,-2.1310977088873413
2928,398.91667271523704,643.2092446965572,0.7194398283682064,0.13799813,-0.005580453760457655,25,21.344818,237.98134,-5.9413576,-0.00811327930865497
2929,533.2765915202714,642.8086439214001,0.4620684349477801,-0.10137933,0.046803523804631375,25,391.7345,4531.9443,-9.140712,-3.4191966943243184
2930,643.8972225767781,642.9656167916921,0.4685461568788157,0.084115334,0.18558797819131512,25,49.263165,562.11206,-6.874557,-1.1846635696285048
